Demand_Region,Supply_Hub,Route_Option,Distance_km,Waypoints_and_Highways
Bowen Basin,Newman,Option 1,5022.777,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Capricorn Highway -> Swinburne Street -> Capricorn Highway -> Shakespeare Street -> Capricorn Highway -> Darwin Street -> Capricorn Highway -> Oak Street -> Landsborough Highway -> Main Avenue -> Landsborough Highway -> Manifold Street -> Riley Street -> Landsborough Highway -> Kirby Street -> Landsborough Highway -> Flinders Highway -> McIlwraith Street -> Ramsay Street -> Flinders Highway -> Barkly Highway -> Marian Street -> Grace Street -> Barkly Highway -> Stuart Highway -> Roper Terrace -> Stuart Highway -> Bicentennial Road -> Victoria Highway -> Great Northern Highway -> Newman Drive -> Kurra Street -> Spring Street -> Wilara Street -> Selman Avenue -> Yalberee Street -> Giles Avenue -> Leete Place
Bowen Basin,Perth (Redcliffe),Option 1,4386.8546,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Margaret Street -> William Street -> Maud Street -> Woolerbilla Road -> Hebel - Goodooga Road -> Goodooga Road -> Adams Street -> Goodooga Road -> Kamilaroi Highway -> Bridge Road -> Barwon Street -> Doyle Street -> Darling Street -> Bathurst Street -> Kamilaroi Highway -> Mitchell Street -> Richard Street -> Gorrell Avenue -> Kidman Way -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Curranyalpa Road -> Fifty Two Mile Road -> Tilpa-Tonga Road -> West Tilpa Road -> Bourke Street -> Reid Street -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Hyden Road -> Hyden-Norseman Road -> East Hyden Bin Road -> Hyden-Lake King Road -> Marshall Street -> Kondinin Hyden Road -> Cook Street -> Howlett Street -> Corrigin Kondinin Road -> Kunjin Street -> Brookton-Corrigin Road -> Brookton Highway -> Chevin Road -> Canning Mills Road -> Mills Road East -> Tonkin Highway -> Dunreath Drive -> Fauntleroy Avenue -> Great Eastern Highway
Bowen Basin,Sydney (Erskine Park),Option 1,1615.8244,Carfax Road -> Golden Mile Road -> Queen Elizabeth Drive -> Garnham Drive -> Dysart Clermont Road -> Cotherstone Road -> Gregory Highway -> Hospital Road -> Ruby Street -> Clermont Street -> Vince Lester Bridge -> Capricorn Highway -> Gregory Highway -> Eclipse Street -> William Street -> Dawson Highway -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Knayers Lane -> Short Street -> George Street East -> Beaumont Drive -> Roslyn Drive -> Warrego Highway -> Carnarvon Highway -> Burrowes Street -> Cordelia Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> St George Street -> Yarouah Street -> Carnarvon Highway -> Railway Parade -> Carnarvon Highway -> Boolooroo Street -> Carnarvon Highway -> Boggabilla Road -> Lou Swan Way -> Narrabri Road -> Newell Highway -> Gurley Street -> Newell Highway -> Railway Parade -> Newell Highway -> Barwan Street -> Spencer Street -> Maitland Street -> Old Gunnedah Road -> Turrawan Road -> Kamilaroi Highway -> Bibil Street -> Kamilaroi Highway -> Wee Waa Street -> Grantham Street -> Kamilaroi Highway -> Conadilly Street -> Warrabungle Street -> Bloomfield Street -> Oxley Highway -> Kamilaroi Highway -> Fitzroy Street -> Loder Street -> Kamilaroi Highway -> New England Highway -> Mayne Street -> New England Highway -> Salisbury Street -> New England Highway -> Main Street -> New England Highway -> Macqueen Street -> New England Highway -> Aberdeen Street -> New England Highway -> Bridge Street -> Haydon Street -> Maitland Street -> New England Highway -> George Street -> Maitland Road -> New England Highway -> Hunter Expressway -> Pacific Motorway Onramp -> Pacific Motorway -> NorthConnex -> M2 Hills Motorway -> Abbott Road -> Prospect Highway -> Wall Park Avenue -> Blacktown Road -> Prospect Highway -> Western Motorway Onramp -> Western Motorway -> Roper Road Offramp -> Erskine Park Road -> Coonawarra Drive -> Arundel Park Drive -> Lauriston Place
Bowen Basin,Sydney (Erskine Park),Option 2,1711.1128,Carfax Road -> Golden Mile Road -> Fitzroy Developmental Road -> Kennedy Street -> Normanby Street -> Fitzroy Developmental Road -> Capricorn Highway -> Theresa Street -> Capricorn Highway -> Leichhardt Highway -> Burnett Highway -> Leichhardt Highway -> Bowen Street -> Leichhardt Highway -> Bridge Street -> Wolsey Street -> Bonner Street -> Cromwell Street -> Leichhardt Highway -> Warrego Highway -> Murilla Street -> Leichhardt Highway -> Wambo Street -> Caliguel Street -> Leichhardt Highway -> Boundary Road -> Cunningham Highway -> Kildonan Road -> Keetah Road -> Tarwoona Road -> Holdfast Road -> Bruxner Way -> Richard Coventry Bridge -> River Street -> Bruxner Way -> Warialda Road -> Yetman Road -> Wallangra Road -> Frazer Street -> Inverell Street -> Bonshaw Road -> Emmaville Road -> Gordons Road -> Strathbogie Road -> Martin Street -> Grafton Street -> Church Street -> New England Highway -> Malpas Street -> Falconer Street -> New England Highway -> Bridge Street -> Salisbury Street -> Duke Street -> Thunderbolts Way -> Uralla Road -> Derby Street -> Thunderbolts Way -> Argyle Street -> Thunderbolts Way -> Boundary Street -> Philip Street -> Church Street -> The Bucketts Way -> Cowper Street -> Berkeley Street -> The Bucketts Way -> Pacific Highway -> Maitland Road -> New England Highway -> John Renshaw Drive -> Pacific Motorway -> NorthConnex -> M2 Hills Motorway -> Abbott Road -> Prospect Highway -> Wall Park Avenue -> Blacktown Road -> Prospect Highway -> Western Motorway Onramp -> Western Motorway -> Roper Road Offramp -> Erskine Park Road -> Coonawarra Drive -> Arundel Park Drive -> Lauriston Place
Hunter Valley,Adelaide (Cavan),Option 1,1461.4802,"Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Bylong Valley Way -> Wollar Road -> Maitland Street -> Barigan Street -> Ulan - Wollar Road -> Ulan Road -> Main Street -> Mackay Street -> Robison Street -> Cope Road -> Station Street -> Herbert Street -> Mayne Street -> Goolma Road -> Mitchell Highway -> Lee Street -> Nanima Crescent -> Percy Street -> Showground Road -> Renshaw McGirr Way -> Renshaw-McGirr Way -> Renshaw McGirr Way -> Forbes Street -> Renshaw-McGirr Way -> Coobang Road -> Newell Highway -> Parkes Road -> Dowling Street -> Sherriff Street -> Newell Highway -> Neeld Street -> Compton Road -> Showground Road -> Mid Western Highway -> Railway Street -> Mid Western Highway -> Boomerang Street -> Mid Western Highway -> Zara Street -> Mid Western Highway -> Murray Street -> Lachlan Street -> Cobb Highway -> Moama Street -> Sturt Highway -> Market Street -> Sturt Highway -> Bertram Road -> Morris Road -> Sturt Highway -> Adelaide Street -> Sturt Highway -> Hendy Road -> Sturt Highway -> Seventh Street -> Deakin Avenue -> Fifteenth Street -> Walnut Avenue -> Sixteenth Street -> Ontario Avenue -> Dow Avenue -> Eighteenth Street -> Sturt Highway -> Stanitzki Road -> Pike Creek Road -> Lyrup Main Road -> Downer Avenue -> Beames Road -> Thayne Terrace -> Wilson Parade -> Lyrup Ferry ""Kingfisher"" -> Lyrup Road -> Sturt Highway -> Moorundie Street -> Sturt Highway -> Gawler Bypass Road -> Main North Road -> Maxwell Road -> Bridge Road"
Hunter Valley,Adelaide (Cavan),Option 2,1556.2635,Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Golden Highway -> King George V Avenue -> Bettington Street -> Telfer Street -> Golden Highway -> Sullivan Street -> Bolaro Street -> Castlereagh Highway -> Bandulla Street -> Castlereagh Highway -> Newell Highway -> Castlereagh Street -> Willie Street -> Waugan Street -> Warren Road -> Oxley Highway -> Coonamble Road -> Burton Street -> Oxley Highway -> Warren Street -> Trangie Street -> Mitchell Highway -> Nymagee Street -> Moonagee Street -> Pangee Street -> Mitchell Highway -> Barrier Highway -> Nyngan Road -> Marshall Street -> Barrier Highway -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway South Terrace -> Barrier Highway -> West Street -> Copperhouse Street -> Copperhouse Road -> Barrier Highway -> Weymouth Street -> Barrier Highway -> Burra Road -> Barrier Highway -> Torrens Road -> Barrier Highway -> Horrocks Highway -> Stockport - Tarlee Road -> Rohde Road -> Horrocks Highway -> Sturt Highway -> Gawler Bypass Road -> Main North Road -> Maxwell Road -> Bridge Road
Hunter Valley,Brisbane (Yatala),Option 2,746.7211,Lemington Road -> New England Highway -> Maitland Street -> Lorne Street -> Haydon Street -> Bridge Street -> New England Highway -> Aberdeen Street -> New England Highway -> Macqueen Street -> New England Highway -> Main Street -> New England Highway -> Salisbury Street -> New England Highway -> Mayne Street -> New England Highway -> Coach Street -> New England Highway -> Whitehouse Lane -> Marsden Park Road -> Calala Lane -> O'Briens Lane -> Nundle Road -> New England Highway -> Gill Street -> New England Highway -> Bridge Street -> New England Highway -> Falconer Street -> Malpas Street -> New England Highway -> Church Street -> New England Highway -> Tenterfield Street -> New England Highway -> Rouse Street -> Miles Street -> Logan Street -> Mount Lindesay Road -> Acacia Avenue -> Mount Lindesay Road -> Unumgar Street -> Mount Lindesay Road -> Summerland Way -> Mount Lindesay Highway -> Telemon Street -> William Street -> Albert Street -> Beaudesert - Nerang Road -> Beaudesert Beenleigh Road -> Stanmore Road -> Darlington Drive -> Elderslie Road
Hunter Valley,Brisbane (Yatala),Option 1,804.5238,Lemington Road -> New England Highway -> George Street -> Maitland Road -> New England Highway -> Hunter Expressway -> John Renshaw Drive Offramp -> John Renshaw Drive -> New England Highway -> Maitland Road -> Pacific Highway -> Bengal Street -> Pacific Highway -> Pacific Motorway -> Pacific Highway -> Pacific Motorway -> Pacific Highway -> Grafton Street -> Pacific Highway -> Pacific Motorway -> Cuthbert Drive -> Elderslie Road
Hunter Valley,Emerald,Option 1,1248.6442,Lemington Road -> New England Highway -> Maitland Street -> Lorne Street -> Haydon Street -> Bridge Street -> New England Highway -> Aberdeen Street -> New England Highway -> Macqueen Street -> New England Highway -> Main Street -> New England Highway -> Salisbury Street -> New England Highway -> Mayne Street -> New England Highway -> Kamilaroi Highway -> Loder Street -> Fitzroy Street -> Kamilaroi Highway -> Oxley Highway -> Bloomfield Street -> Warrabungle Street -> Conadilly Street -> Kamilaroi Highway -> Grantham Street -> Wee Waa Street -> Kamilaroi Highway -> Bibil Street -> Kamilaroi Highway -> Turrawan Road -> Old Gunnedah Road -> Spencer Street -> Barwan Street -> Newell Highway -> Railway Parade -> Newell Highway -> Gurley Street -> Newell Highway -> Narrabri Road -> Lou Swan Way -> Boggabilla Road -> Carnarvon Highway -> Boolooroo Street -> Carnarvon Highway -> Railway Parade -> Carnarvon Highway -> Yarouah Street -> St George Street -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Cordelia Street -> Burrowes Street -> Carnarvon Highway -> Warrego Highway -> Roslyn Drive -> Beaumont Drive -> George Street East -> Short Street -> Knayers Lane -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Dawson Highway -> William Street -> Eclipse Street -> Eclipse Street Bypass -> Gregory Highway -> Capricorn Highway -> Vince Lester Bridge -> Clermont Street -> Opal Street -> New Street
Hunter Valley,Emerald,Option 2,1300.902,Lemington Road -> New England Highway -> Maitland Street -> Lorne Street -> Haydon Street -> Bridge Street -> New England Highway -> Aberdeen Street -> New England Highway -> Macqueen Street -> New England Highway -> Main Street -> New England Highway -> Salisbury Street -> New England Highway -> Mayne Street -> New England Highway -> Coach Street -> New England Highway -> Goonoo Goonoo Road -> Ebsworth Street -> Bridge Street -> Brisbane Street -> Peel Street -> Manilla Road -> Tamworth Road -> Arthur Street -> Rowan Street -> Manilla Road -> Queen Street -> Bridge Street -> Bingara Road -> Cobbadah Road -> Maitland Street -> Finch Street -> East Street -> Allan Cunningham Road -> Bingara Street -> Allan Cunningham Road -> Gwydir Highway -> Geddes Street -> Stephen Street -> Warialda Road -> Yetman Street -> Warialda Road -> Bruxner Way -> River Street -> Richard Coventry Bridge -> Bruxner Way -> Holdfast Road -> Tarwoona Road -> Keetah Road -> Kildonan Road -> Cunningham Highway -> Boundary Road -> Leichhardt Highway -> Surat Developmental Road -> Sybil Street -> Riverglen Road -> Schwennesens Road -> Overstone Road -> Warkon Road -> Scotsburn Road -> Retreat Road -> Roma Condamine Road -> Carnarvon Highway -> Warrego Highway -> Roslyn Drive -> Beaumont Drive -> George Street East -> Short Street -> Knayers Lane -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Dawson Highway -> William Street -> Eclipse Street -> Eclipse Street Bypass -> Gregory Highway -> Capricorn Highway -> Vince Lester Bridge -> Clermont Street -> Opal Street -> New Street
