Demand_Region,Supply_Hub,Route_Option,Distance_km,Waypoints_and_Highways
Hunter Valley,Kalgoorlie,Option 1,3329.7805,Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Golden Highway -> King George V Avenue -> Bettington Street -> Telfer Street -> Golden Highway -> Sullivan Street -> Bolaro Street -> Castlereagh Highway -> Bandulla Street -> Castlereagh Highway -> Newell Highway -> Castlereagh Street -> Willie Street -> Waugan Street -> Warren Road -> Oxley Highway -> Coonamble Road -> Burton Street -> Oxley Highway -> Warren Street -> Trangie Street -> Mitchell Highway -> Nymagee Street -> Moonagee Street -> Pangee Street -> Mitchell Highway -> Barrier Highway -> Nyngan Road -> Marshall Street -> Barrier Highway -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Lane Street -> Federal Road -> Boulder Road -> Maritana Street -> Piccadilly Street -> Hawkins Street
Hunter Valley,Kalgoorlie,Option 2,3469.0422000000003,"Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Bylong Valley Way -> Wollar Road -> Maitland Street -> Barigan Street -> Ulan - Wollar Road -> Ulan Road -> Main Street -> Mackay Street -> Robison Street -> Cope Road -> Station Street -> Herbert Street -> Mayne Street -> Goolma Road -> Mitchell Highway -> Lee Street -> Nanima Crescent -> Percy Street -> Showground Road -> Renshaw McGirr Way -> Renshaw-McGirr Way -> Renshaw McGirr Way -> Forbes Street -> Renshaw-McGirr Way -> Coobang Road -> Newell Highway -> Parkes Road -> Dowling Street -> Sherriff Street -> Newell Highway -> Neeld Street -> Compton Road -> Showground Road -> Mid Western Highway -> Railway Street -> Mid Western Highway -> Boomerang Street -> Mid Western Highway -> Zara Street -> Mid Western Highway -> Murray Street -> Lachlan Street -> Cobb Highway -> Moama Street -> Sturt Highway -> Market Street -> Sturt Highway -> Bertram Road -> Morris Road -> Sturt Highway -> Adelaide Street -> Sturt Highway -> Hendy Road -> Sturt Highway -> Seventh Street -> Deakin Avenue -> Fifteenth Street -> Walnut Avenue -> Sixteenth Street -> Ontario Avenue -> Dow Avenue -> Eighteenth Street -> Sturt Highway -> Stanitzki Road -> Pike Creek Road -> Lyrup Main Road -> Downer Avenue -> Beames Road -> Thayne Terrace -> Wilson Parade -> Lyrup Ferry ""Kingfisher"" -> Lyrup Road -> Sturt Highway -> Goyder Highway -> Ring Road -> Goyder Highway -> Ludgvan Street -> Barrier Highway -> Wilkins Highway -> Cockburn Road -> Ayr Street -> Vohr Street -> Ayr Street -> Clyde Street -> Appila Road -> Crossman Road -> Kelly Road -> Nukunu Yarta Way -> Whitewell Road -> Willochra Road -> Girdham Road -> Waters Road -> Arthur Road -> Reichstein Road -> Arthur Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Lane Street -> Federal Road -> Boulder Road -> Maritana Street -> Piccadilly Street -> Hawkins Street"
Hunter Valley,Mackay (Paget),Option 1,1527.9111,Lemington Road -> New England Highway -> Maitland Street -> Lorne Street -> Haydon Street -> Bridge Street -> New England Highway -> Aberdeen Street -> New England Highway -> Macqueen Street -> New England Highway -> Main Street -> New England Highway -> Salisbury Street -> New England Highway -> Mayne Street -> New England Highway -> Kamilaroi Highway -> Loder Street -> Fitzroy Street -> Kamilaroi Highway -> Oxley Highway -> Bloomfield Street -> Warrabungle Street -> Conadilly Street -> Kamilaroi Highway -> Grantham Street -> Wee Waa Street -> Kamilaroi Highway -> Bibil Street -> Kamilaroi Highway -> Turrawan Road -> Old Gunnedah Road -> Spencer Street -> Barwan Street -> Newell Highway -> Railway Parade -> Newell Highway -> Gurley Street -> Newell Highway -> Narrabri Road -> Lou Swan Way -> Newell Highway -> Cunningham Highway -> Boundary Road -> Leichhardt Highway -> Caliguel Street -> Wambo Street -> Leichhardt Highway -> Murilla Street -> Warrego Highway -> Leichhardt Highway -> Cromwell Street -> Bonner Street -> Wolsey Street -> Bridge Street -> Leichhardt Highway -> Bowen Street -> Leichhardt Highway -> Burnett Highway -> Coronation Drive -> Central Street -> James Street -> Burnett Highway -> Bruce Highway -> Yeppen Crossing -> Lower Dawson Road (Bruce Highway) -> Gladstone Road (Bruce Highway) -> George Street (Bruce Highway) -> Fitzroy Street -> Queen Elizabeth Drive -> Musgrave Street -> Yaamba Road (Bruce Highway) -> Bruce Highway -> Kunwarara Road -> Bruce Highway -> Brown Street -> Bruce Highway -> Broad Street -> Bruce Highway -> Farrellys Road -> Michelmore Street -> Boundary Road East
Hunter Valley,Mackay (Paget),Option 2,1540.348,Lemington Road -> New England Highway -> Maitland Street -> Lorne Street -> Haydon Street -> Bridge Street -> New England Highway -> Aberdeen Street -> New England Highway -> Macqueen Street -> New England Highway -> Main Street -> New England Highway -> Salisbury Street -> New England Highway -> Mayne Street -> New England Highway -> Coach Street -> New England Highway -> Goonoo Goonoo Road -> Ebsworth Street -> Bridge Street -> Brisbane Street -> Peel Street -> Manilla Road -> Tamworth Road -> Arthur Street -> Rowan Street -> Manilla Road -> Queen Street -> Bridge Street -> Bingara Road -> Cobbadah Road -> Maitland Street -> Finch Street -> East Street -> Allan Cunningham Road -> Bingara Street -> Allan Cunningham Road -> Gwydir Highway -> Geddes Street -> Stephen Street -> Warialda Road -> Yetman Street -> Warialda Road -> Bruxner Way -> River Street -> Richard Coventry Bridge -> Bruxner Way -> Holdfast Road -> Tarwoona Road -> Keetah Road -> Kildonan Road -> Cunningham Highway -> Boundary Road -> Leichhardt Highway -> Caliguel Street -> Wambo Street -> Leichhardt Highway -> Murilla Street -> Warrego Highway -> Leichhardt Highway -> Cromwell Street -> Bonner Street -> Wolsey Street -> Bridge Street -> Leichhardt Highway -> Bowen Street -> Leichhardt Highway -> Burnett Highway -> Coronation Drive -> Central Street -> James Street -> Burnett Highway -> Bruce Highway -> Yeppen Crossing -> Lower Dawson Road (Bruce Highway) -> Gladstone Road (Bruce Highway) -> George Street (Bruce Highway) -> Fitzroy Street -> Queen Elizabeth Drive -> Musgrave Street -> Yaamba Road (Bruce Highway) -> Bruce Highway -> Kunwarara Road -> Bruce Highway -> Brown Street -> Bruce Highway -> Broad Street -> Bruce Highway -> Farrellys Road -> Michelmore Street -> Boundary Road East
Hunter Valley,Mt Thorley,Option 1,38.9641,Lemington Road -> New England Highway -> Bridgman Road -> Dunolly Road -> John Street -> Putty Road -> Mount Thorley Road -> Kime Road
Hunter Valley,Mt Thorley,Option 2,40.207,Lemington Road -> Jerrys Plains Road -> Mount Thorley Road -> Kime Road
Hunter Valley,Newman,Option 1,4299.6918,Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Golden Highway -> King George V Avenue -> Bettington Street -> Telfer Street -> Golden Highway -> Sullivan Street -> Bolaro Street -> Castlereagh Highway -> Bandulla Street -> Castlereagh Highway -> Newell Highway -> Castlereagh Street -> Willie Street -> Waugan Street -> Warren Road -> Oxley Highway -> Coonamble Road -> Burton Street -> Oxley Highway -> Warren Street -> Trangie Street -> Mitchell Highway -> Nymagee Street -> Moonagee Street -> Pangee Street -> Mitchell Highway -> Barrier Highway -> Nyngan Road -> Marshall Street -> Barrier Highway -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Tower Street -> Goldfields Highway -> Wotton Street -> Wiluna North Road -> Great Northern Highway -> Kalgan Drive -> Newman Drive -> Mindarra Drive -> Rudall Avenue -> Yalberee Street -> Giles Avenue -> Leete Place
Hunter Valley,Newman,Option 2,4438.9535,"Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Bylong Valley Way -> Wollar Road -> Maitland Street -> Barigan Street -> Ulan - Wollar Road -> Ulan Road -> Main Street -> Mackay Street -> Robison Street -> Cope Road -> Station Street -> Herbert Street -> Mayne Street -> Goolma Road -> Mitchell Highway -> Lee Street -> Nanima Crescent -> Percy Street -> Showground Road -> Renshaw McGirr Way -> Renshaw-McGirr Way -> Renshaw McGirr Way -> Forbes Street -> Renshaw-McGirr Way -> Coobang Road -> Newell Highway -> Parkes Road -> Dowling Street -> Sherriff Street -> Newell Highway -> Neeld Street -> Compton Road -> Showground Road -> Mid Western Highway -> Railway Street -> Mid Western Highway -> Boomerang Street -> Mid Western Highway -> Zara Street -> Mid Western Highway -> Murray Street -> Lachlan Street -> Cobb Highway -> Moama Street -> Sturt Highway -> Market Street -> Sturt Highway -> Bertram Road -> Morris Road -> Sturt Highway -> Adelaide Street -> Sturt Highway -> Hendy Road -> Sturt Highway -> Seventh Street -> Deakin Avenue -> Fifteenth Street -> Walnut Avenue -> Sixteenth Street -> Ontario Avenue -> Dow Avenue -> Eighteenth Street -> Sturt Highway -> Stanitzki Road -> Pike Creek Road -> Lyrup Main Road -> Downer Avenue -> Beames Road -> Thayne Terrace -> Wilson Parade -> Lyrup Ferry ""Kingfisher"" -> Lyrup Road -> Sturt Highway -> Goyder Highway -> Ring Road -> Goyder Highway -> Ludgvan Street -> Barrier Highway -> Wilkins Highway -> Cockburn Road -> Ayr Street -> Vohr Street -> Ayr Street -> Clyde Street -> Appila Road -> Crossman Road -> Kelly Road -> Nukunu Yarta Way -> Whitewell Road -> Willochra Road -> Girdham Road -> Waters Road -> Arthur Road -> Reichstein Road -> Arthur Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Tower Street -> Goldfields Highway -> Wotton Street -> Wiluna North Road -> Great Northern Highway -> Kalgan Drive -> Newman Drive -> Mindarra Drive -> Rudall Avenue -> Yalberee Street -> Giles Avenue -> Leete Place"
Hunter Valley,Perth (Redcliffe),Option 1,3771.9837,Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Golden Highway -> King George V Avenue -> Bettington Street -> Telfer Street -> Golden Highway -> Sullivan Street -> Bolaro Street -> Castlereagh Highway -> Bandulla Street -> Castlereagh Highway -> Newell Highway -> Castlereagh Street -> Willie Street -> Waugan Street -> Warren Road -> Oxley Highway -> Coonamble Road -> Burton Street -> Oxley Highway -> Warren Street -> Trangie Street -> Mitchell Highway -> Nymagee Street -> Moonagee Street -> Pangee Street -> Mitchell Highway -> Barrier Highway -> Nyngan Road -> Marshall Street -> Barrier Highway -> Myers Street -> Barrier Highway -> Argent Street -> Iodide Street -> Cobalt Street -> Chloride Street -> Wolfram Street -> Gossan Street -> Talc Street -> Galena Street -> Rakow Street -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Petersburg Road -> Whittle Road -> Petersburg Road -> Main Street -> Petersburg Road -> RM Williams Way -> Second Street -> Willowie Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Hyden Road -> Hyden-Norseman Road -> East Hyden Bin Road -> Hyden-Lake King Road -> Marshall Street -> Kondinin Hyden Road -> Cook Street -> Howlett Street -> Corrigin Kondinin Road -> Kunjin Street -> Brookton-Corrigin Road -> Brookton Highway -> Chevin Road -> Canning Mills Road -> Mills Road East -> Tonkin Highway -> Dunreath Drive -> Fauntleroy Avenue -> Great Eastern Highway
Hunter Valley,Perth (Redcliffe),Option 2,3911.2454,"Lemington Road -> New England Highway -> Thomas Mitchell Drive -> Denman Road -> Bengalla Road -> Wybong Road -> Merriwa Road -> Bylong Valley Way -> Wollar Road -> Maitland Street -> Barigan Street -> Ulan - Wollar Road -> Ulan Road -> Main Street -> Mackay Street -> Robison Street -> Cope Road -> Station Street -> Herbert Street -> Mayne Street -> Goolma Road -> Mitchell Highway -> Lee Street -> Nanima Crescent -> Percy Street -> Showground Road -> Renshaw McGirr Way -> Renshaw-McGirr Way -> Renshaw McGirr Way -> Forbes Street -> Renshaw-McGirr Way -> Coobang Road -> Newell Highway -> Parkes Road -> Dowling Street -> Sherriff Street -> Newell Highway -> Neeld Street -> Compton Road -> Showground Road -> Mid Western Highway -> Railway Street -> Mid Western Highway -> Boomerang Street -> Mid Western Highway -> Zara Street -> Mid Western Highway -> Murray Street -> Lachlan Street -> Cobb Highway -> Moama Street -> Sturt Highway -> Market Street -> Sturt Highway -> Bertram Road -> Morris Road -> Sturt Highway -> Adelaide Street -> Sturt Highway -> Hendy Road -> Sturt Highway -> Seventh Street -> Deakin Avenue -> Fifteenth Street -> Walnut Avenue -> Sixteenth Street -> Ontario Avenue -> Dow Avenue -> Eighteenth Street -> Sturt Highway -> Stanitzki Road -> Pike Creek Road -> Lyrup Main Road -> Downer Avenue -> Beames Road -> Thayne Terrace -> Wilson Parade -> Lyrup Ferry ""Kingfisher"" -> Lyrup Road -> Sturt Highway -> Goyder Highway -> Ring Road -> Goyder Highway -> Ludgvan Street -> Barrier Highway -> Wilkins Highway -> Cockburn Road -> Ayr Street -> Vohr Street -> Ayr Street -> Clyde Street -> Appila Road -> Crossman Road -> Kelly Road -> Nukunu Yarta Way -> Whitewell Road -> Willochra Road -> Girdham Road -> Waters Road -> Arthur Road -> Reichstein Road -> Arthur Road -> Horrocks Highway -> Horrocks Pass Road -> Main North Road -> Augusta Highway -> Victoria Parade -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Hyden Road -> Hyden-Norseman Road -> East Hyden Bin Road -> Hyden-Lake King Road -> Marshall Street -> Kondinin Hyden Road -> Cook Street -> Howlett Street -> Corrigin Kondinin Road -> Kunjin Street -> Brookton-Corrigin Road -> Brookton Highway -> Chevin Road -> Canning Mills Road -> Mills Road East -> Tonkin Highway -> Dunreath Drive -> Fauntleroy Avenue -> Great Eastern Highway"
Hunter Valley,Sydney (Erskine Park),Option 2,231.529,Lemington Road -> New England Highway -> Bridgman Road -> Dunolly Road -> John Street -> Putty Road -> Wilberforce Road -> Bridge Street -> Macquarie Street -> George Street -> Blacktown Road -> Richmond Road -> Westlink M7 Onramp -> Westlink M7 -> Western Motorway Offramp -> Western Motorway Onramp -> Western Motorway -> Roper Road Offramp -> Erskine Park Road -> Coonawarra Drive -> Arundel Park Drive -> Lauriston Place
Hunter Valley,Sydney (Erskine Park),Option 1,239.4914,Lemington Road -> New England Highway -> George Street -> Maitland Road -> New England Highway -> Hunter Expressway -> Pacific Motorway Onramp -> Pacific Motorway -> NorthConnex -> M2 Hills Motorway -> Abbott Road -> Prospect Highway -> Wall Park Avenue -> Blacktown Road -> Prospect Highway -> Western Motorway Onramp -> Western Motorway -> Roper Road Offramp -> Erskine Park Road -> Coonawarra Drive -> Arundel Park Drive -> Lauriston Place
Olympic Dam,Adelaide (Cavan),Option 1,567.6148000000001,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Frances Terrace -> Augusta Highway -> Port Wakefield Highway -> Port Wakefield Road -> Ryans Road -> Salisbury Highway -> Elder Smith Road -> Maxwell Road -> Bridge Road
Olympic Dam,Brisbane (Yatala),Option 1,2119.8545,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Main North Road -> Horrocks Pass Road -> Horrocks Highway -> Willowie Road -> Second Street -> RM Williams Way -> Petersburg Road -> Main Street -> Petersburg Road -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Rakow Street -> Galena Street -> Talc Street -> Gossan Street -> Wolfram Street -> Chloride Street -> Cobalt Street -> Iodide Street -> Argent Street -> Barrier Highway -> Myers Street -> Reid Street -> Bourke Street -> West Tilpa Road -> Tilpa-Tonga Road -> Fifty Two Mile Road -> Curranyalpa Road -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Kidman Way -> Gorrell Avenue -> Richard Street -> Mitchell Street -> Kamilaroi Highway -> Bathurst Street -> Young Street -> Hardie Street -> Bridge Road -> Kamilaroi Highway -> Wee Waa Street -> Peel Street -> Montkeila Street -> Fox Street -> Castlereagh Highway -> Gwydir Highway -> Herbert Street -> Gundabloui Road -> Mungindi Collarenebri Road -> Carnarvon Highway -> St George Street -> Yarouah Street -> Carrigan Road -> Baronga Street -> Carrigan Road -> Gunsynd Way -> McLean Street -> Marshall Street -> Moffatt Street -> Russell Street -> Riddle Street -> Boundary Road -> Leichhardt Highway -> Gore Highway -> Commens Street -> Gore Highway -> Mary Street -> Gore Highway -> Warrego Highway -> Ipswich Motorway -> Logan Motorway -> Pacific Motorway -> Stapylton Jacobs Well Road -> Stanmore Road -> Elderslie Road
Olympic Dam,Emerald,Option 1,1802.9416,Borefield Road -> Oodnadatta Track -> Birdsville Track -> Birdsville Developmental Road -> Diamantina Developmental Road -> Albert Street -> Maryborough Street -> Quilpie Windorah Road -> Thomson Developmental Road -> Dickson Street -> Thomson Developmental Road -> Eagle Street -> Landsborough Highway -> Main Avenue -> Landsborough Highway -> Oak Street -> Capricorn Highway -> Darwin Street -> Capricorn Highway -> Shakespeare Street -> Swinburne Street -> Capricorn Highway -> Clermont Street -> Selma Road -> Roberts Street -> New Street
Olympic Dam,Emerald,Option 2,2213.4489,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Main North Road -> Horrocks Pass Road -> Horrocks Highway -> Willowie Road -> Second Street -> RM Williams Way -> Petersburg Road -> Main Street -> Petersburg Road -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Rakow Street -> Galena Street -> Talc Street -> Gossan Street -> Wolfram Street -> Chloride Street -> Cobalt Street -> Iodide Street -> Argent Street -> Barrier Highway -> Myers Street -> Reid Street -> Bourke Street -> West Tilpa Road -> Tilpa-Tonga Road -> Fifty Two Mile Road -> Curranyalpa Road -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Kidman Way -> Gorrell Avenue -> Richard Street -> Mitchell Street -> Kamilaroi Highway -> Bathurst Street -> Young Street -> Hardie Street -> Bridge Road -> Kamilaroi Highway -> Goodooga Road -> Adams Street -> Goodooga Road -> Hebel - Goodooga Road -> Woolerbilla Road -> Maud Street -> William Street -> Margaret Street -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Cordelia Street -> Burrowes Street -> Carnarvon Highway -> Warrego Highway -> Roslyn Drive -> Beaumont Drive -> George Street East -> Short Street -> Knayers Lane -> Carnarvon Highway -> Hutton Street -> Carnarvon Highway -> Dawson Highway -> William Street -> Eclipse Street -> Eclipse Street Bypass -> Gregory Highway -> Capricorn Highway -> Vince Lester Bridge -> Clermont Street -> Opal Street -> New Street
Olympic Dam,Kalgoorlie,Option 1,2123.2745,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Lane Street -> Federal Road -> Boulder Road -> Maritana Street -> Piccadilly Street -> Hawkins Street
Olympic Dam,Mackay (Paget),Option 1,2147.8571,Borefield Road -> Oodnadatta Track -> Birdsville Track -> Birdsville Developmental Road -> Diamantina Developmental Road -> Albert Street -> Maryborough Street -> Quilpie Windorah Road -> Thomson Developmental Road -> Dickson Street -> Thomson Developmental Road -> Eagle Street -> Landsborough Highway -> Main Avenue -> Landsborough Highway -> Oak Street -> Capricorn Highway -> Darwin Street -> Capricorn Highway -> Shakespeare Street -> Swinburne Street -> Capricorn Highway -> Anakie Sapphire Road -> Anakie-Sapphire Road -> Anakie Sapphire Road -> Rubyvale Road -> Clermont Road -> Capella Rubyvale Road -> Clermont Rubyvale Road -> Christoe Street -> Rubyvale Road -> Copperfield Road -> Jellicoe Street -> Tropic Street -> Clermont Connection Road -> Gregory Highway -> Archibald Street -> Connors Road -> John Vella Drive -> Central Park Drive -> Boundary Road East
Olympic Dam,Mackay (Paget),Option 2,2574.4048,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Main North Road -> Horrocks Pass Road -> Horrocks Highway -> Willowie Road -> Second Street -> RM Williams Way -> Petersburg Road -> Main Street -> Petersburg Road -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Rakow Street -> Galena Street -> Talc Street -> Gossan Street -> Wolfram Street -> Chloride Street -> Cobalt Street -> Iodide Street -> Argent Street -> Barrier Highway -> Myers Street -> Reid Street -> Bourke Street -> West Tilpa Road -> Tilpa-Tonga Road -> Fifty Two Mile Road -> Curranyalpa Road -> Bourke Wilcannia Road -> Bloxham Street -> Bourke Wilcannia Road -> Kidman Way -> Gorrell Avenue -> Richard Street -> Mitchell Street -> Kamilaroi Highway -> Bathurst Street -> Young Street -> Hardie Street -> Bridge Road -> Kamilaroi Highway -> Goodooga Road -> Adams Street -> Goodooga Road -> Hebel - Goodooga Road -> Woolerbilla Road -> Maud Street -> William Street -> Margaret Street -> Castlereagh Highway -> Railway Street -> Castlereagh Highway -> Carnarvon Highway -> Salmon Road -> Carnarvon Highway -> Cordelia Street -> Burrowes Street -> Carnarvon Highway -> Yuleba-Surat Road -> Roma Condamine Road -> Yuleba - Surat Road -> Bedwell Street -> Warrego Highway -> Yuleba North Road -> Horse Creek Road -> Bundi Road -> Perretts Road -> Chapmans Road -> Yeovil Road -> Roma Taroom Road -> Roma - Taroom Road -> Leichhardt Highway -> Bowen Street -> Leichhardt Highway -> Burnett Highway -> Coronation Drive -> Central Street -> James Street -> Burnett Highway -> Bruce Highway -> Yeppen Crossing -> Lower Dawson Road (Bruce Highway) -> Gladstone Road (Bruce Highway) -> George Street (Bruce Highway) -> Fitzroy Street -> Queen Elizabeth Drive -> Musgrave Street -> Yaamba Road (Bruce Highway) -> Bruce Highway -> Kunwarara Road -> Bruce Highway -> Brown Street -> Bruce Highway -> Broad Street -> Bruce Highway -> Farrellys Road -> Michelmore Street -> Boundary Road East
Olympic Dam,Mt Thorley,Option 1,1740.5128,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Main North Road -> Horrocks Pass Road -> Horrocks Highway -> Willowie Road -> Second Street -> RM Williams Way -> Petersburg Road -> Main Street -> Petersburg Road -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Railway Terrace -> Barrier Highway -> Waite Terrace -> Barrier Highway -> Rakow Street -> Galena Street -> Talc Street -> Gossan Street -> Wolfram Street -> Chloride Street -> Cobalt Street -> Iodide Street -> Argent Street -> Barrier Highway -> Myers Street -> Barrier Highway -> Marshall Street -> Nyngan Road -> Barrier Highway -> Mitchell Highway -> Pangee Street -> Moonagee Street -> Nymagee Street -> Mitchell Highway -> Trangie Street -> Warren Street -> Oxley Highway -> Burton Street -> Coonamble Road -> Oxley Highway -> Warren Road -> Waugan Street -> Willie Street -> Castlereagh Street -> Jack Renshaw Bridge -> Newell Highway -> Castlereagh Highway -> Bandulla Street -> Castlereagh Highway -> Bolaro Street -> Sullivan Street -> Golden Highway -> Telfer Street -> Bettington Street -> King George V Avenue -> Golden Highway -> Merriwa Road -> Palace Street -> Crinoline Street -> Denman Road -> Jerrys Plains Road -> Pringle Street -> Lonsdale Street -> Pagan Street -> Jerrys Plains Road -> Mount Thorley Road -> Kime Road
Olympic Dam,Mt Thorley,Option 2,1875.4116999999999,"Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> Victoria Parade -> Augusta Highway -> Main North Road -> Horrocks Pass Road -> Horrocks Highway -> Arthur Road -> Reichstein Road -> Arthur Road -> Waters Road -> Girdham Road -> Willochra Road -> Whitewell Road -> Nukunu Yarta Way -> Kelly Road -> Crossman Road -> Appila Road -> Clyde Street -> Ayr Street -> Vohr Street -> Ayr Street -> Cockburn Road -> Wilkins Highway -> Barrier Highway -> Ludgvan Street -> Goyder Highway -> Ring Road -> Goyder Highway -> Sturt Highway -> Lyrup Road -> Lyrup Ferry ""Kingfisher"" -> Wilson Parade -> Thayne Terrace -> Beames Road -> Downer Avenue -> Lyrup Main Road -> Pike Creek Road -> Stanitzki Road -> Sturt Highway -> Eighteenth Street -> Dow Avenue -> Ontario Avenue -> Sixteenth Street -> Walnut Avenue -> Fifteenth Street -> Deakin Avenue -> Seventh Street -> Sturt Highway -> Hendy Road -> Sturt Highway -> Adelaide Street -> Sturt Highway -> Morris Road -> Bertram Road -> Sturt Highway -> Market Street -> McCabe Street -> Sturt Highway -> Moama Street -> Cobb Highway -> Lachlan Street -> Murray Street -> Mid Western Highway -> Zara Street -> Mid Western Highway -> Boomerang Street -> Mid Western Highway -> Railway Street -> Mid Western Highway -> Showground Road -> Compton Road -> Neeld Street -> Newell Highway -> Sherriff Street -> Dowling Street -> Parkes Road -> Newell Highway -> Coobang Road -> Renshaw-McGirr Way -> Forbes Street -> Renshaw McGirr Way -> Renshaw-McGirr Way -> Renshaw McGirr Way -> Showground Road -> Percy Street -> Nanima Crescent -> Lee Street -> Mitchell Highway -> Goolma Road -> Mayne Street -> Herbert Street -> Station Street -> Cope Road -> Robison Street -> Mackay Street -> Main Street -> Ulan Road -> Ulan - Wollar Road -> Barigan Street -> Maitland Street -> Wollar Road -> Bylong Valley Way -> Yarrawa Road -> Virginia Street -> Crinoline Street -> Denman Road -> Jerrys Plains Road -> Pringle Street -> Lonsdale Street -> Pagan Street -> Jerrys Plains Road -> Mount Thorley Road -> Kime Road"
Olympic Dam,Newman,Option 1,3093.1859,Olympic Dam Way -> Olympic Dam Highway -> Stuart Highway -> Eyre Highway -> McKenzie Street -> Kuhlmann Street -> Eyre Highway -> Coolgardie-Esperance Highway -> Goldfields Highway -> Tower Street -> Goldfields Highway -> Wotton Street -> Wiluna North Road -> Great Northern Highway -> Kalgan Drive -> Newman Drive -> Mindarra Drive -> Rudall Avenue -> Yalberee Street -> Giles Avenue -> Leete Place
