Location,Latitude,Longitude,Role
Perth (Redcliffe),-31.92,115.96,Primary Western Hub
Adelaide (Cavan),-34.82,138.64,National Reman Centre
Sydney (Erskine Park),-33.80,150.80,Distribution Centre
Brisbane (Yatala),-27.75,153.23,Sales & Support Hub
Mackay (Paget),-21.18,149.18,Bowen Basin Gateway
Emerald,-23.53,148.16,Regional Coal Support
Newman,-23.35,119.73,Pilbara Regional Branch
Kalgoorlie,-30.75,121.46,Goldfields Regional
Mt Thorley,-32.62,151.10,Hunter Valley Hub
