Region,Latitude,Longitude,Primary_Commodity
Pilbara,-21.75,118.50,Iron Ore
Bowen Basin,-22.50,148.50,Coal
Hunter Valley,-32.50,151.00,Coal
WA Goldfields,-30.75,121.50,Gold / Nickel
Olympic Dam,-30.43,136.88,Copper / Uranium
